task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
63	be/a33541	39865	run_peptideshaker (7)	COMPLETED	0	2021-01-11 13:03:13.788	5m 46s	5m 44s	115.3%	1008.7 MB	16.7 GB	879 MB	336.1 MB
64	da/a53d0b	41645	run_peptideshaker (8)	COMPLETED	0	2021-01-11 13:03:17.097	5m 56s	5m 55s	114.5%	946.5 MB	16.5 GB	897.4 MB	348.8 MB
66	98/fcf911	46806	run_peptideshaker (10)	COMPLETED	0	2021-01-11 13:03:29.335	6m 1s	6m	115.9%	957.5 MB	16.6 GB	902 MB	347.8 MB
69	b8/3883ea	4601	run_peptideshaker (13)	COMPLETED	0	2021-01-11 13:03:43.121	5m 48s	5m 46s	116.1%	950.6 MB	16.5 GB	886.5 MB	334.4 MB
71	5c/a26cca	9085	run_peptideshaker (15)	COMPLETED	0	2021-01-11 13:03:50.594	5m 41s	5m 39s	115.9%	930.7 MB	16.5 GB	862.2 MB	324.9 MB
62	69/c2f12a	39680	run_peptideshaker (6)	COMPLETED	0	2021-01-11 13:03:13.483	6m 20s	6m 18s	114.1%	1 GB	16.6 GB	937.4 MB	366.5 MB
67	67/d24190	1593	run_peptideshaker (11)	COMPLETED	0	2021-01-11 13:03:35.904	5m 59s	5m 58s	116.0%	1 GB	16.5 GB	898.7 MB	348 MB
68	cc/4cae84	4497	run_peptideshaker (12)	COMPLETED	0	2021-01-11 13:03:42.964	5m 58s	5m 57s	114.9%	990.4 MB	16.3 GB	893.7 MB	342.9 MB
70	8d/f4e6d6	6825	run_peptideshaker (14)	COMPLETED	0	2021-01-11 13:03:47.135	5m 59s	5m 57s	115.2%	974.5 MB	16.3 GB	900.1 MB	339.7 MB
72	ad/57ec09	10171	run_peptideshaker (16)	COMPLETED	0	2021-01-11 13:03:52.128	5m 56s	5m 55s	115.1%	951.4 MB	16.6 GB	898.6 MB	343.9 MB
73	ee/193294	18522	run_peptideshaker (17)	COMPLETED	0	2021-01-11 13:04:08.699	5m 49s	5m 47s	115.4%	959.3 MB	16.6 GB	883.1 MB	334.7 MB
74	87/2ff2d0	40371	run_peptideshaker (18)	COMPLETED	0	2021-01-11 13:04:49.526	5m 52s	5m 50s	114.8%	1018.1 MB	16.4 GB	891.1 MB	338.5 MB
75	0c/e98c0b	5295	run_peptideshaker (19)	COMPLETED	0	2021-01-11 13:05:23.891	6m 19s	6m 17s	113.9%	972 MB	16.3 GB	935.6 MB	369.4 MB
82	b4/e42e3a	10902	get_peptideshaker_tsv (3)	COMPLETED	0	2021-01-11 13:08:59.599	5m 34s	5m 32s	105.6%	847.9 MB	5.4 GB	755.5 MB	213.8 MB
80	c9/84c116	8798	get_peptideshaker_tsv (1)	COMPLETED	0	2021-01-11 13:08:57.029	5m 37s	5m 35s	106.3%	699.1 MB	5.7 GB	755.6 MB	213.3 MB
76	1e/a7d545	39356	run_peptideshaker (20)	COMPLETED	0	2021-01-11 13:08:20.663	6m 16s	6m 15s	114.4%	987.8 MB	16.4 GB	926.4 MB	363.5 MB
83	62/aff0e8	19591	get_peptideshaker_tsv (4)	COMPLETED	0	2021-01-11 13:09:13.393	5m 28s	5m 26s	106.3%	662.9 MB	5.4 GB	744.4 MB	209.7 MB
81	78/ef955c	10623	get_peptideshaker_tsv (2)	COMPLETED	0	2021-01-11 13:08:59.210	5m 46s	5m 44s	105.6%	815.8 MB	5.6 GB	770.7 MB	217.2 MB
77	58/ba05ff	46648	run_peptideshaker (21)	COMPLETED	0	2021-01-11 13:08:36.004	6m 14s	6m 12s	114.6%	1004.9 MB	16.7 GB	916.2 MB	356.6 MB
85	45/9438b9	35022	get_peptideshaker_tsv (6)	COMPLETED	0	2021-01-11 13:09:31.026	5m 22s	5m 20s	106.5%	669.6 MB	5.4 GB	745.2 MB	207.1 MB
79	e0/d3b552	5475	run_peptideshaker (23)	COMPLETED	0	2021-01-11 13:08:51.854	6m 11s	6m 9s	115.1%	947.4 MB	16.5 GB	917.5 MB	355.8 MB
86	04/675adf	35168	get_peptideshaker_tsv (7)	COMPLETED	0	2021-01-11 13:09:31.472	5m 32s	5m 30s	106.2%	701.9 MB	5.4 GB	749.9 MB	213.4 MB
78	ae/e396c7	5447	run_peptideshaker (22)	COMPLETED	0	2021-01-11 13:08:51.838	6m 14s	6m 13s	115.1%	1 GB	16.9 GB	917.7 MB	359.1 MB
84	18/b4bb20	34553	get_peptideshaker_tsv (5)	COMPLETED	0	2021-01-11 13:09:30.560	5m 38s	5m 36s	105.5%	650.8 MB	5.3 GB	765.1 MB	215.3 MB
90	c2/3e1c6b	46214	get_peptideshaker_tsv (11)	COMPLETED	0	2021-01-11 13:09:45.857	5m 24s	5m 23s	105.9%	806.1 MB	5.4 GB	738.7 MB	208.9 MB
89	19/b557e0	43086	get_peptideshaker_tsv (10)	COMPLETED	0	2021-01-11 13:09:41.408	5m 36s	5m 35s	106.4%	774 MB	5.5 GB	758.4 MB	213.2 MB
87	50/c8123c	36312	get_peptideshaker_tsv (8)	COMPLETED	0	2021-01-11 13:09:33.408	5m 45s	5m 44s	106.1%	833.4 MB	5.5 GB	762.6 MB	219.9 MB
88	23/9592a8	38126	get_peptideshaker_tsv (9)	COMPLETED	0	2021-01-11 13:09:35.357	5m 45s	5m 43s	105.6%	813.3 MB	5.6 GB	768.5 MB	220.5 MB
92	e3/cad472	4387	get_peptideshaker_tsv (13)	COMPLETED	0	2021-01-11 13:09:57.452	5m 46s	5m 44s	105.4%	815.3 MB	5.5 GB	764.9 MB	220.4 MB
91	b6/177cea	47697	get_peptideshaker_tsv (12)	COMPLETED	0	2021-01-11 13:09:48.361	6m 5s	6m 3s	105.7%	880.7 MB	5.6 GB	800.5 MB	235.5 MB
93	06/1f854d	30156	get_peptideshaker_tsv (14)	COMPLETED	0	2021-01-11 13:10:41.144	5m 38s	5m 36s	105.5%	641.7 MB	5.3 GB	762.2 MB	218.3 MB
94	9e/cdee39	7871	get_peptideshaker_tsv (15)	COMPLETED	0	2021-01-11 13:11:42.886	5m 39s	5m 37s	105.3%	868.9 MB	5.4 GB	771.3 MB	218.1 MB
96	1a/93e9ac	31660	get_peptideshaker_tsv (17)	COMPLETED	0	2021-01-11 13:14:33.850	5m 31s	5m 29s	105.9%	858 MB	5.5 GB	754.6 MB	213.2 MB
97	44/44506c	33527	get_peptideshaker_tsv (18)	COMPLETED	0	2021-01-11 13:14:37.029	5m 30s	5m 29s	105.9%	842.7 MB	5.5 GB	761.2 MB	215.4 MB
95	15/c4b962	31566	get_peptideshaker_tsv (16)	COMPLETED	0	2021-01-11 13:14:33.736	5m 35s	5m 34s	105.9%	879.2 MB	5.4 GB	766.7 MB	218.3 MB
100	34/3cd4d0	41587	get_peptideshaker_tsv (21)	COMPLETED	0	2021-01-11 13:14:49.955	5m 45s	5m 44s	105.9%	880.3 MB	5.4 GB	781.6 MB	228.1 MB
99	ad/a109e7	38710	get_peptideshaker_tsv (20)	COMPLETED	0	2021-01-11 13:14:44.846	5m 54s	5m 53s	105.7%	639.3 MB	5.2 GB	790.5 MB	233.2 MB
98	b9/298257	35777	get_peptideshaker_tsv (19)	COMPLETED	0	2021-01-11 13:14:41.208	5m 59s	5m 57s	105.6%	762.7 MB	5.7 GB	797.5 MB	236.8 MB
101	d9/af5787	47314	get_peptideshaker_tsv (22)	COMPLETED	0	2021-01-11 13:15:02.370	5m 49s	5m 48s	105.8%	638.1 MB	5.4 GB	784 MB	228.7 MB
102	a5/f20cdf	49029	get_peptideshaker_tsv (23)	COMPLETED	0	2021-01-11 13:15:06.306	5m 45s	5m 44s	105.5%	890.7 MB	5.4 GB	781.3 MB	228.7 MB
30	62/8fe69f	16000	run_searchgui_search (1)	COMPLETED	0	2021-01-11 13:02:05.449	46m 1s	45m 59s	103.5%	1.3 GB	6.4 GB	1.7 GB	1.2 GB
35	f9/4bdf6c	20398	run_searchgui_search (6)	COMPLETED	0	2021-01-11 13:02:32.001	45m 47s	45m 46s	103.6%	1.3 GB	6.2 GB	1.7 GB	1.2 GB
43	df/7de953	17245	run_searchgui_search (14)	COMPLETED	0	2021-01-11 13:02:16.651	47m 5s	47m 3s	103.3%	1.3 GB	6.3 GB	1.6 GB	1.1 GB
47	16/8b22c5	18454	run_searchgui_search (18)	COMPLETED	0	2021-01-11 13:02:25.024	47m 10s	47m 8s	103.6%	1.3 GB	6.3 GB	1.7 GB	1.2 GB
103	c4/d875a5	47088	run_peptideshaker (24)	COMPLETED	0	2021-01-11 13:48:06.209	5m 38s	5m 36s	114.3%	1006.9 MB	16.8 GB	933.7 MB	365.4 MB
104	37/350373	48473	run_peptideshaker (25)	COMPLETED	0	2021-01-11 13:48:19.389	5m 39s	5m 38s	114.9%	976 MB	17.1 GB	926.5 MB	365.3 MB
105	86/d71ec9	3163	run_peptideshaker (26)	COMPLETED	0	2021-01-11 13:49:21.446	5m 19s	5m 18s	115.1%	1.1 GB	17.3 GB	897.5 MB	343.7 MB
106	06/90d036	4804	run_peptideshaker (27)	COMPLETED	0	2021-01-11 13:49:34.869	5m 40s	5m 39s	113.7%	1 GB	13.5 GB	923.7 MB	364.1 MB
107	71/d9649b	22359	get_peptideshaker_tsv (24)	COMPLETED	0	2021-01-11 13:53:44.025	5m 27s	5m 25s	105.8%	846.6 MB	5.6 GB	797.1 MB	234.8 MB
108	37/3d0be9	30661	get_peptideshaker_tsv (25)	COMPLETED	0	2021-01-11 13:53:58.361	5m 28s	5m 27s	105.8%	758.4 MB	5.6 GB	789.4 MB	233.8 MB
109	cf/35e455	34446	get_peptideshaker_tsv (26)	COMPLETED	0	2021-01-11 13:54:40.509	5m 5s	5m 4s	105.8%	877.5 MB	5.4 GB	765 MB	217.8 MB
110	dd/583c61	37774	get_peptideshaker_tsv (27)	COMPLETED	0	2021-01-11 13:55:15.076	5m 21s	5m 20s	105.4%	847.4 MB	5.6 GB	787.9 MB	234.1 MB
111	39/507672	8121	flashLFQ_all	COMPLETED	0	2021-01-11 14:00:36.179	1h 1m 19s	1h 1m 18s	160.1%	3.9 GB	13.8 GB	36.7 GB	18.3 GB
112	62/220a09	38460	run_msqrob (1)	COMPLETED	0	2021-01-11 15:01:55.426	4m 38s	4m 36s	114.8%	942.4 MB	2.9 GB	32.4 MB	846.7 KB
