task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
45	b7/839473	21503	convert_raw_mzml (22)	COMPLETED	0	2020-05-02 22:12:04.466	2m 15s	2m 13s	167.8%	1.8 GB	4.4 GB	1.7 GB	1.2 GB
46	01/26b077	24488	convert_raw_mzml (23)	COMPLETED	0	2020-05-02 22:14:19.808	2m 24s	2m 22s	160.8%	1.8 GB	4.4 GB	1.7 GB	1.2 GB
47	60/c83c0a	27672	convert_raw_mzml (24)	COMPLETED	0	2020-05-02 22:16:43.624	2m 22s	2m 20s	157.9%	1.8 GB	4.5 GB	1.7 GB	1.2 GB
48	c5/ded6d1	30834	convert_raw_mgf (23)	COMPLETED	0	2020-05-02 22:19:05.814	2m 42s	2m 40s	151.3%	1.7 GB	4.3 GB	424.9 KB	665.1 MB
49	c6/3ca57e	1808	convert_raw_mgf (24)	COMPLETED	0	2020-05-02 22:21:47.563	2m 40s	2m 38s	151.2%	1.7 GB	4.5 GB	538.9 KB	658.3 MB
50	a0/de98fc	5183	convert_raw_mgf (25)	COMPLETED	0	2020-05-02 22:24:27.820	2m 47s	2m 46s	147.0%	1.7 GB	4.3 GB	488.7 KB	634.1 MB
51	33/314d69	8732	convert_raw_mzml (25)	COMPLETED	0	2020-05-02 22:27:15.281	2m 6s	2m 4s	169.0%	1.8 GB	4.4 GB	1.6 GB	1.2 GB
52	32/e25f03	11643	convert_raw_mgf (26)	COMPLETED	0	2020-05-02 22:29:21.249	3m 3s	3m 1s	142.6%	1.7 GB	4.2 GB	453.4 KB	639.9 MB
53	85/2ee110	15459	convert_raw_mzml (26)	COMPLETED	0	2020-05-02 22:32:24.522	2m 7s	2m 5s	168.2%	1.7 GB	4.1 GB	1.6 GB	1.1 GB
54	ab/ac7aac	18370	convert_raw_mgf (27)	COMPLETED	0	2020-05-02 22:34:31.211	2m 50s	2m 48s	145.8%	1.7 GB	4.2 GB	455.1 KB	642.3 MB
55	32/f6e0bb	21927	convert_raw_mzml (27)	COMPLETED	0	2020-05-02 22:37:20.744	2m 8s	2m 6s	170.4%	1.7 GB	4.2 GB	1.6 GB	1.2 GB
56	57/12f714	24843	convert_mzml_mzdb (1)	COMPLETED	0	2020-05-02 22:39:28.979	2m 49s	2m 47s	98.4%	576.7 MB	33.8 GB	2.7 GB	861.5 MB
57	c3/bce169	27315	convert_mzml_mzdb (2)	COMPLETED	0	2020-05-02 22:42:18.330	2m 52s	2m 51s	98.6%	589.2 MB	33.8 GB	2.9 GB	900.2 MB
58	ee/5587c0	29825	convert_mzml_mzdb (3)	COMPLETED	0	2020-05-02 22:45:10.796	2m 55s	2m 53s	98.7%	593.1 MB	33.8 GB	2.9 GB	901.7 MB
59	fc/c60f4e	32313	convert_mzml_mzdb (4)	COMPLETED	0	2020-05-02 22:48:05.840	2m 43s	2m 41s	99.2%	577.3 MB	33.8 GB	2.8 GB	875.2 MB
60	65/40f25b	2293	convert_mzml_mzdb (5)	COMPLETED	0	2020-05-02 22:50:48.562	2m 46s	2m 44s	98.5%	577.4 MB	33.8 GB	2.8 GB	870.8 MB
61	1c/0b9a4c	4742	convert_mzml_mzdb (6)	COMPLETED	0	2020-05-02 22:53:34.435	2m 57s	2m 55s	98.8%	589.7 MB	33.8 GB	2.9 GB	894.5 MB
62	d8/3b53a4	7293	convert_mzml_mzdb (7)	COMPLETED	0	2020-05-02 22:56:31.233	3m 2s	3m	98.7%	593.8 MB	33.8 GB	2.9 GB	901.5 MB
