task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
13	91/9cafaf	7420	set_comet_configuration (1)	COMPLETED	0	2020-04-27 15:20:22.883	1.3s	64ms	75.8%	3 MB	5.4 MB	262.9 KB	116.2 KB
14	09/37158e	5062	convert_raw_mzml (13)	COMPLETED	0	2020-04-27 15:20:06.748	3m 22s	3m 20s	157.1%	1.7 GB	4.3 GB	1.6 GB	1.2 GB
15	e4/e65978	5833	convert_raw_mzml (14)	COMPLETED	0	2020-04-27 15:20:12.518	3m 24s	3m 22s	156.7%	1.8 GB	4.6 GB	1.6 GB	1.2 GB
17	9a/dc1d10	7821	convert_raw_mzml (16)	COMPLETED	0	2020-04-27 15:20:24.188	3m 25s	3m 23s	157.9%	1.8 GB	4.5 GB	1.6 GB	1.2 GB
18	4b/626f43	23819	convert_raw_mzml (17)	COMPLETED	0	2020-04-27 15:23:28.718	4m 48s	4m 46s	150.4%	1.7 GB	4.4 GB	1.6 GB	1.1 GB
16	3d/cbd891	24990	convert_raw_mzml (15)	COMPLETED	0	2020-04-27 15:23:36.566	5m 3s	5m 1s	150.3%	1.8 GB	4.5 GB	1.6 GB	1.2 GB
19	22/6e5c92	27453	convert_raw_mzml (18)	COMPLETED	0	2020-04-27 15:23:48.995	5m	4m 58s	150.0%	1.8 GB	4.5 GB	1.6 GB	1.2 GB
20	f9/b75887	22431	convert_raw_mzml (19)	COMPLETED	0	2020-04-27 15:28:16.271	5m	4m 58s	147.0%	1.8 GB	4.5 GB	1.6 GB	1.2 GB
21	4b/1925b7	25698	convert_raw_mzml (20)	COMPLETED	0	2020-04-27 15:28:39.921	4m 56s	4m 54s	146.8%	1.8 GB	4.5 GB	1.6 GB	1.2 GB
22	71/62c606	27315	convert_raw_mzml (21)	COMPLETED	0	2020-04-27 15:28:49.263	4m 54s	4m 52s	146.3%	1.8 GB	4.4 GB	1.6 GB	1.2 GB
23	d4/29824b	22090	convert_raw_mzml (22)	COMPLETED	0	2020-04-27 15:33:15.872	5m 37s	5m 34s	141.0%	1.8 GB	4.5 GB	1.6 GB	1.2 GB
25	58/c7fbc5	25122	convert_raw_mzml (24)	COMPLETED	0	2020-04-27 15:33:43.054	5m 40s	5m 38s	140.9%	1.8 GB	4.4 GB	1.6 GB	1.2 GB
24	2d/b40b91	24277	convert_raw_mzml (23)	COMPLETED	0	2020-04-27 15:33:35.801	5m 49s	5m 47s	139.9%	1.8 GB	4.5 GB	1.6 GB	1.2 GB
26	1c/8028ba	24245	convert_raw_mzml (25)	COMPLETED	0	2020-04-27 15:38:52.715	5m 53s	5m 50s	139.4%	1.8 GB	4.4 GB	1.6 GB	1.2 GB
